 total number of assessments in srDB 
-------------------------------------
                                 231
(1 row)

 total number of assessments in srDB excluding RAM original data 
-----------------------------------------------------------------
                                                             179
(1 row)

  recorder   | total number of assessments in srDB 
-------------+-------------------------------------
 MYERS       |                                  52
 MINTO       |                                  37
 JENNINGS    |                                  27
 JENSEN      |                                  21
 PREFONTAINE |                                  21
 BRANCH      |                                  17
 FULTON      |                                  15
 COLLIE      |                                  12
 BAUM        |                                   7
 Parma       |                                   6
 PRÉFONTAINE |                                   3
 de Moor     |                                   2
 FRANCIS     |                                   2
 Johnston    |                                   2
 WORM        |                                   2
 GILROY      |                                   1
 HUTCHINGS   |                                   1
 LEGAULT     |                                   1
 TERCEIRO    |                                   1
 WIGLEY      |                                   1
(20 rows)

  recorder   | total number of assessments with time-series data in srDB 
-------------+-----------------------------------------------------------
 MYERS       |                                                        52
 MINTO       |                                                        37
 JENNINGS    |                                                        27
 PREFONTAINE |                                                        21
 JENSEN      |                                                        21
 BRANCH      |                                                        17
 FULTON      |                                                        15
 COLLIE      |                                                        12
 BAUM        |                                                         7
 Parma       |                                                         6
 WORM        |                                                         2
 FRANCIS     |                                                         2
 de Moor     |                                                         2
 Johnston    |                                                         2
 PRÉFONTAINE |                                                         2
 HUTCHINGS   |                                                         1
 LEGAULT     |                                                         1
 WIGLEY      |                                                         1
 TERCEIRO    |                                                         1
 GILROY      |                                                         1
(20 rows)

  recorder   | total number of assessments with biometrics data in srDB 
-------------+----------------------------------------------------------
 MINTO       |                                                       37
 JENNINGS    |                                                       27
 PREFONTAINE |                                                       21
 JENSEN      |                                                       20
 BRANCH      |                                                       17
 FULTON      |                                                       15
 COLLIE      |                                                        7
 BAUM        |                                                        7
 Parma       |                                                        6
 FRANCIS     |                                                        2
 WORM        |                                                        2
 de Moor     |                                                        2
 Johnston    |                                                        2
 PRÉFONTAINE |                                                        2
 HUTCHINGS   |                                                        1
 LEGAULT     |                                                        1
 WIGLEY      |                                                        1
 TERCEIRO    |                                                        1
 GILROY      |                                                        1
(19 rows)

  recorder   |                         stocklong                         |        scientificname         |      stockid      
 MYERS       | _-YELL5Z-1960-1996-MYERS                     |                     4
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          |                     6
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          |                     6
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           |                     5
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           |                     5
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      |                     5
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            |                     5
 PREFONTAINE | DFO-COD5Zjm-1978-2003-PREFONTAINE            |                     7
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            |                     5
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           |                    11
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           |                     8
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        |                     2
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       |                     4
 PREFONTAINE | DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE       |                     1
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    |                     6
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        |                    17
 PREFONTAINE | DFO-NFLD-MONK2J3KLNOPs-1985-2000-PREFONTAINE |                     1
 PREFONTAINE | DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE        |                     6
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      |                    12
 PREFONTAINE | DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE       |                     2
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       |                     4
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       |                     5
 PREFONTAINE | DFO-SG-COD4TVn-1965-2007-PREFONTAINE         |                    11
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       |                     7
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         |                     7
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         |                     7
 PREFONTAINE | NAFO-SC-GHAL01ABCDEF-1987-2006-PREFONTAINE   |                     3
 PREFONTAINE | NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE    |                     5
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        |                     5
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        |                     5
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     |                     6
 WIGLEY      | NEFSC-OPOUTNWATLC-1962-2008-WIGLEY           |                     5
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                |                     5
 WORM        | ICCAT-ATBTUNAWATL-1970-2008-WORM             |                     4
(230 rows)

  recorder   |                   assessid                   |           tsid            
-------------+----------------------------------------------+---------------------------
 BAUM        | AFSC-PCODGA-1977-2007-BAUM                   | R-E03
 BAUM        | AFSC-PCODGA-1977-2007-BAUM                   | SSB-MT
 BAUM        | AFSC-PCODGA-1977-2007-BAUM                   | YEAR-yr
 BAUM        | NEFSC-COD5Z-1960-2007-BAUM                   | F-1/T
 BAUM        | NEFSC-COD5Z-1960-2007-BAUM                   | R-E03
 BAUM        | NEFSC-COD5Z-1960-2007-BAUM                   | SSB-MT
 BAUM        | NEFSC-COD5Z-1960-2007-BAUM                   | TB-MT
 BAUM        | NEFSC-COD5Z-1960-2007-BAUM                   | TC-MT
 BAUM        | NEFSC-COD5Z-1960-2007-BAUM                   | TL-MT
 BAUM        | NEFSC-CODGOM-1893-2008-BAUM                  | F-1/T
 BAUM        | NEFSC-CODGOM-1893-2008-BAUM                  | R-E03
 BAUM        | NEFSC-CODGOM-1893-2008-BAUM                  | SSB-MT
 BAUM        | NEFSC-CODGOM-1893-2008-BAUM                  | TL-MT
 BAUM        | NEFSC-CODGOM-1893-2008-BAUM                  | TN-E03
 BAUM        | NEFSC-HADGB-1930-2008-BAUM                   | F-1/T
 BAUM        | NEFSC-HADGB-1930-2008-BAUM                   | R-E03
 BAUM        | NEFSC-HADGB-1930-2008-BAUM                   | SSB-MT
 BAUM        | NEFSC-HADGB-1930-2008-BAUM                   | TB-MT
 BAUM        | NEFSC-HADGB-1930-2008-BAUM                   | TC-E03
 BAUM        | NEFSC-SFLOUNMATLC-1940-2007-BAUM             | F-1/T
 BAUM        | NEFSC-SFLOUNMATLC-1940-2007-BAUM             | R-E03
 BAUM        | NEFSC-SFLOUNMATLC-1940-2007-BAUM             | SSB-MT
 BAUM        | NEFSC-SFLOUNMATLC-1940-2007-BAUM             | TC-MT
 BAUM        | NEFSC-SFLOUNMATLC-1940-2007-BAUM             | TL-MT
 BAUM        | NEFSC-SFLOUNMATLC-1940-2007-BAUM             | TN-E03
 BAUM        | NEFSC-YELLGB-1935-2008-BAUM                  | F-1/T
 BAUM        | NEFSC-YELLGB-1935-2008-BAUM                  | R-E03
 BAUM        | NEFSC-YELLGB-1935-2008-BAUM                  | SSB-MT
 BAUM        | NEFSC-YELLGB-1935-2008-BAUM                  | TB-MT
 BAUM        | NEFSC-YELLGB-1935-2008-BAUM                  | TC-MT
 BAUM        | NEFSC-YELLGB-1935-2008-BAUM                  | TL-MT
 BAUM        | NEFSC-YELLSNEMATL-1935-2008-BAUM             | F-1/T
 BAUM        | NEFSC-YELLSNEMATL-1935-2008-BAUM             | R-E03
 BAUM        | NEFSC-YELLSNEMATL-1935-2008-BAUM             | SSB-MT
 BAUM        | NEFSC-YELLSNEMATL-1935-2008-BAUM             | TC-MT
 BAUM        | NEFSC-YELLSNEMATL-1935-2008-BAUM             | TN-E03
 BRANCH      | NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH        | F-1/yr
 BRANCH      | NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH        | R-E03
 BRANCH      | NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH        | SSB-MT
 BRANCH      | NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH        | TB-MT
 BRANCH      | NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH        | TC-MT
 BRANCH      | NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH      | F-1/yr
 BRANCH      | NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH      | R-E03
 BRANCH      | NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH      | SSB-MT
 BRANCH      | NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH      | TB-MT
 BRANCH      | NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH      | TC-MT
 BRANCH      | NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH      | F-1/yr
 BRANCH      | NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH      | R-E03
 BRANCH      | NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH      | SSB-E06larvae
 BRANCH      | NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH      | TB-MT
 BRANCH      | NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH      | TC-MT
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | F-1/yr
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | R-E03
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | SSB-E06larvae
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | TB-MT
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           | TC-MT
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | F-1/yr
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | R-E03
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | SSB-E03eggs
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | TB-MT
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         | TC-MT
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | F-1/yr
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | R-E03
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | SSB-MT
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | TB-MT
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          | TC-MT
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | F-1/yr
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | R-E03
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | SSB-MT
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | TB-MT
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | TC-MT
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            | TL-MT
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | F-1/yr
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | R-E03
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | SSB-MT
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | TB-MT
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           | TC-MT
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | F-1/yr
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | R-E03
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | SSB-E03eggs
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | TB-MT
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          | TC-MT
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | F-1/T
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | R-E03
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | SSB-MT
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | TB-MT
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | TC-MT
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           | TL-MT
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | F-1/yr
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | R-E03
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | SSB-MT
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | TB-MT
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        | TC-MT
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | F-1/yr
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | R-E03
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | SSB-MT
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | TB-MT
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           | TC-MT
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | F-1/yr
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | R-E03
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | SSB-MT
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | TB-MT
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         | TC-MT
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | F-1/yr
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | R-E03
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | SSB-MT
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | TB-MT
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          | TC-MT
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | F-1/yr
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | R-E03
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | SSB-E03eggs
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | SSB-MT
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | TB-MT
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | TC-MT
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | F-1/yr
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | R-E03
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | SSB-MT
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | TB-MT
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | TC-MT
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | F-1/yr
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | R-E03
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | SSB-MT
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | TB-MT
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | TC-MT
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | F-1/T
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | R-E03
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | TB-MT
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | TL-MT
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | YEAR-yr
 COLLIE      | DFO-PAC-HERRCC-1951-2007-COLLIE              | F-1/yr
 COLLIE      | DFO-PAC-HERRCC-1951-2007-COLLIE              | R-E03
 COLLIE      | DFO-PAC-HERRCC-1951-2007-COLLIE              | SSB-MT
 COLLIE      | DFO-PAC-HERRCC-1951-2007-COLLIE              | TB-MT
 COLLIE      | DFO-PAC-HERRCC-1951-2007-COLLIE              | TC-MT
 COLLIE      | DFO-PAC-HERRCC-1951-2007-COLLIE              | YEAR-yr
 COLLIE      | DFO-PAC-HERRPRD-1951-2007-COLLIE             | F-1/yr
 COLLIE      | DFO-PAC-HERRPRD-1951-2007-COLLIE             | R-E03
 COLLIE      | DFO-PAC-HERRPRD-1951-2007-COLLIE             | SSB-MT
 COLLIE      | DFO-PAC-HERRPRD-1951-2007-COLLIE             | TB-MT
 COLLIE      | DFO-PAC-HERRPRD-1951-2007-COLLIE             | TC-MT
 COLLIE      | DFO-PAC-HERRPRD-1951-2007-COLLIE             | YEAR-yr
 COLLIE      | DFO-PAC-HERRQCI-1951-2007-COLLIE             | F-1/yr
 COLLIE      | DFO-PAC-HERRQCI-1951-2007-COLLIE             | R-E03
 COLLIE      | DFO-PAC-HERRQCI-1951-2007-COLLIE             | SSB-MT
 COLLIE      | DFO-PAC-HERRQCI-1951-2007-COLLIE             | TB-MT
 COLLIE      | DFO-PAC-HERRQCI-1951-2007-COLLIE             | TC-MT
 COLLIE      | DFO-PAC-HERRQCI-1951-2007-COLLIE             | YEAR-yr
 COLLIE      | DFO-PAC-HERRSOG-1951-2007-COLLIE             | F-1/yr
 COLLIE      | DFO-PAC-HERRSOG-1951-2007-COLLIE             | R-E03
 COLLIE      | DFO-PAC-HERRSOG-1951-2007-COLLIE             | SSB-MT
 COLLIE      | DFO-PAC-HERRSOG-1951-2007-COLLIE             | TB-MT
 COLLIE      | DFO-PAC-HERRSOG-1951-2007-COLLIE             | TC-MT
 COLLIE      | DFO-PAC-HERRSOG-1951-2007-COLLIE             | YEAR-yr
 COLLIE      | DFO-PAC-HERRWCVANI-1951-2007-COLLIE          | F-1/yr
 COLLIE      | DFO-PAC-HERRWCVANI-1951-2007-COLLIE          | R-E03
 COLLIE      | DFO-PAC-HERRWCVANI-1951-2007-COLLIE          | SSB-MT
 COLLIE      | DFO-PAC-HERRWCVANI-1951-2007-COLLIE          | TB-MT
 COLLIE      | DFO-PAC-HERRWCVANI-1951-2007-COLLIE          | TC-MT
 COLLIE      | DFO-PAC-HERRWCVANI-1951-2007-COLLIE          | YEAR-yr
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | F-1/T
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | R-E03
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | TB-MT
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | TL-MT
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | TN-E03
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | YEAR-yr
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | CPUEraw-C/E
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | F-1/T
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | R-E03
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | TB-MT
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | TL-MT
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | TN-E03
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | YEAR-yr
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | F-1/T
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | R-E03
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | SSB-MT
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | TB-MT
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | TL-MT
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | YEAR-yr
 COLLIE      | RIDEM-LOBSTERRI-1959-2007-COLLIE             | ASP-MT
 COLLIE      | RIDEM-LOBSTERRI-1959-2007-COLLIE             | F-1/T
 COLLIE      | RIDEM-LOBSTERRI-1959-2007-COLLIE             | TB-MT
 COLLIE      | RIDEM-LOBSTERRI-1959-2007-COLLIE             | TL-MT
 COLLIE      | RIDEM-LOBSTERRI-1959-2007-COLLIE             | YEAR-yr
 COLLIE      | RIDEM-TAUTOGRI-1959-2007-COLLIE              | ASP-MT
 COLLIE      | RIDEM-TAUTOGRI-1959-2007-COLLIE              | F-1/T
 COLLIE      | RIDEM-TAUTOGRI-1959-2007-COLLIE              | TB-MT
 COLLIE      | RIDEM-TAUTOGRI-1959-2007-COLLIE              | TL-MT
 COLLIE      | RIDEM-TAUTOGRI-1959-2007-COLLIE              | YEAR-yr
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | ASP-MT
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | F-1/T
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | TB-MT
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | TL-MT
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | YEAR-yr
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | F-1/yr
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | R-E03
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | SSB-MT
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | TB-MT
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | TC-MT
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | F-1/yr
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | R-E03
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | SSB-MT
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | TB-MT
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | TC-MT
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | ER-none
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | R-E03
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | SSB-MT
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | TB-MT
